date,team,score,suf_score,rank,rank_suf,rank_change,total_points,result,rank_dif,points_by_rank,team_points
2023-09-09,China PR,1,1,80.0,136.0,0.0,1304.78,2,-56.0,0.007352941176470588,1
2023-09-09,Germany,1,4,15.0,20.0,0.0,1636.32,1,-5.0,0.0,0
2023-09-09,Mexico,2,2,12.0,27.0,26.399999999999864,1665.59,2,-15.0,0.037037037037037035,1
2023-09-09,South Africa,0,0,63.0,114.0,-1.240000000000009,1368.25,2,-51.0,0.008771929824561403,1
2023-09-09,United States,3,0,11.0,74.0,1.1400000000001,1674.48,0,-63.0,0.04054054054054054,3
2023-09-09,Malawi,2,2,123.0,81.0,7.480000000000018,1140.65,2,42.0,0.012345679012345678,1
2023-09-09,Ivory Coast,1,0,52.0,151.0,0.0,1433.38,0,-99.0,0.019867549668874173,3
2023-09-09,Comoros,1,1,130.0,84.0,-2.8299999999999272,1119.99,2,46.0,0.011904761904761904,1
2023-09-09,Mauritania,2,1,101.0,85.0,0.0,1205.18,0,16.0,0.03529411764705882,3
2023-09-09,DR Congo,2,0,69.0,131.0,0.0,1350.11,0,-62.0,0.022900763358778626,3
2023-09-09,Rwanda,1,1,139.0,18.0,0.0,1089.46,2,121.0,0.05555555555555555,1
2023-09-09,Ukraine,1,1,24.0,4.0,0.0,1541.25,2,20.0,0.25,1
2023-09-09,North Macedonia,1,1,68.0,8.0,0.0,1350.53,2,60.0,0.125,1
2023-09-09,Azerbaijan,0,1,121.0,5.0,0.0,1143.22,1,116.0,0.0,0
2023-09-09,Estonia,0,5,111.0,23.0,0.0,1179.3,1,88.0,0.0,0
2023-09-09,Andorra,0,0,154.0,98.0,0.0,1022.3,2,56.0,0.01020408163265306,1
2023-09-09,Kosovo,2,2,109.0,13.0,0.0,1179.69,2,96.0,0.07692307692307693,1
2023-09-09,Romania,1,1,48.0,76.0,0.0,1443.98,2,-28.0,0.013157894736842105,1
2023-09-10,Guatemala,1,1,107.0,45.0,20.110000000000127,1186.71,2,62.0,0.022222222222222223,1
2023-09-10,El Salvador,2,3,75.0,102.0,7.829999999999927,1325.47,1,-27.0,0.0,0
2023-09-10,Nigeria,6,0,39.0,186.0,0.0,1486.48,0,-147.0,0.016129032258064516,3
2023-09-10,Togo,3,2,122.0,66.0,0.0,1140.88,0,56.0,0.045454545454545456,3
