home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Slovenia,Kazakhstan,0,-43.0,1.2000000000000002,1.2000000000000002,-0.3999999999999999,-0.3999999999999999,0.014250957970926344,1.7999999999999972,1.7999999999999972,0.009375000000000001,0.009375000000000001,1,0
Nicaragua,Dominican Republic,1,-11.0,0.6000000000000001,0.6000000000000001,-1.0,-1.0,0.0033428516711399986,2.200000000000017,2.200000000000017,0.0072993237283152,0.0072993237283152,1,0
Guyana,Antigua and Barbuda,0,36.0,0.9999999999999998,0.9999999999999998,-1.8000000000000003,-1.8000000000000003,0.007430736884940146,-18.19999999999999,-18.19999999999999,0.010892189309242658,0.010892189309242658,1,0
Puerto Rico,Bahamas,0,-34.0,1.7000000000000002,1.7000000000000002,-1.95,-1.95,0.009991248695212089,10.650000000000006,10.650000000000006,0.010242654976157515,0.010242654976157515,1,0
Canada,Jamaica,1,-15.0,-0.33333333333333326,-0.5,1.3333333333333333,1.1,0.019397413678176247,-57.16666666666667,-60.599999999999994,0.0074389241752797625,0.011349231926093026,1,0
Mexico,Honduras,0,-67.0,0.1333333333333333,-0.19999999999999996,1.6333333333333333,1.6,0.02090562843842573,-64.83333333333333,-66.6,-0.016530387832615977,-0.02465599520932319,1,0
Ecuador,Chile,0,8.0,0.20000000000000007,0.20000000000000007,-0.6,-0.6,0.004238505747126441,2.799999999999997,2.799999999999997,0.015584626367985362,0.015584626367985362,1,0
Paraguay,Colombia,1,32.0,-0.8,-0.8,-0.19999999999999996,-0.19999999999999996,-0.028629144608526044,9.199999999999996,9.199999999999996,-0.21127359060301354,-0.21127359060301354,1,0
Uruguay,Bolivia,0,-67.0,1.1666666666666665,1.2,-1.1666666666666665,-1.2000000000000002,0.07608034083992696,-7.899999999999999,-4.199999999999999,0.806705182072829,0.8019432773109243,1,0
Peru,Venezuela,1,-36.0,-1.0,-1.0,0.9999999999999999,0.9999999999999999,-0.03546099290780142,5.400000000000002,5.400000000000002,-0.09857993197278911,-0.09857993197278911,1,0
Brazil,Argentina,1,2.0,0.20000000000000018,0.20000000000000018,0.7999999999999999,0.7999999999999999,0.0077442904355546835,-3.0,-3.0,-0.023736126029359116,-0.023736126029359116,1,0
India,Qatar,1,40.0,-2.0,-2.0,0.0,0.0,-0.01733644676425572,-8.333333333333343,-8.333333333333343,0.0009298433214003435,0.0009298433214003435,1,0
Afghanistan,Kuwait,1,20.0,-0.41666666666666663,-0.25,0.8333333333333333,1.2000000000000002,-0.008914523839896975,68.58333333333334,62.05000000000001,-0.009471504332161422,-0.009084075529432072,1,0
Syria,Japan,1,74.0,-3.0,-3.0,0.6666666666666666,0.6666666666666666,-0.04830158276372897,45.0,45.0,-0.08122150022799818,-0.08122150022799818,1,0
China PR,South Korea,1,52.0,-2.0,-2.0,1.0,1.0,-0.031176692359249338,27.80000000000001,27.80000000000001,-0.03319738114093618,-0.03319738114093618,1,0
Singapore,Thailand,1,45.0,-0.44999999999999996,-0.44999999999999996,-0.7999999999999998,-0.7999999999999998,-0.008152720085756397,48.2,48.2,-0.0032697820973683032,-0.0032697820973683032,1,0
Uzbekistan,Iran,1,52.0,-0.5,-0.5,1.6,1.6,0.003855169010609425,-29.299999999999997,-29.299999999999997,0.0024187282640293004,0.0024187282640293004,1,0
Philippines,Indonesia,1,-15.0,-0.8333333333333334,-0.8333333333333334,-1.1666666666666667,-1.1666666666666667,-0.008505917159763315,8.666666666666671,8.666666666666671,-0.004500138465798948,-0.004500138465798948,1,0
Vietnam,Iraq,1,25.0,-1.45,-1.45,0.75,0.75,-0.011692442184813051,-22.650000000000006,-22.650000000000006,-0.003280485596932274,-0.003280485596932274,1,0
Pakistan,Tajikistan,1,91.0,-1.1666666666666667,-1.1666666666666667,0.8333333333333333,0.8333333333333333,-0.010036945812807882,15.333333333333343,15.333333333333343,-0.00801547428592813,-0.00801547428592813,1,0
Jordan,Saudi Arabia,1,28.0,-0.9333333333333335,-0.9333333333333335,1.2,1.2,-0.014645080946450811,18.66666666666667,18.66666666666667,-0.00508297672476777,-0.00508297672476777,1,0
Bahrain,United Arab Emirates,1,14.0,-1.5,-1.5,0.5,0.5,-0.015183544987424198,27.0,27.0,-0.021389672600399354,-0.021389672600399354,1,0
Nepal,Yemen,1,19.0,-0.9333333333333332,-0.9333333333333332,0.19999999999999996,0.19999999999999996,-0.00548619993446158,-11.466666666666669,-11.466666666666669,-0.00100787284610814,-0.00100787284610814,1,0
Palestine,Australia,1,69.0,-2.6666666666666665,-2.6666666666666665,0.33333333333333326,0.33333333333333326,-0.04017109574080816,21.0,21.0,-0.029735449735449733,-0.029735449735449733,1,0
Bangladesh,Lebanon,1,89.0,-0.19999999999999996,-0.19999999999999996,0.6000000000000001,0.6000000000000001,-0.004942081259941211,39.999999999999986,39.999999999999986,-0.0004348783707218062,-0.0004348783707218062,1,0
Ethiopia,Burkina Faso,1,86.0,0.06666666666666665,0.06666666666666665,-0.26666666666666666,-0.26666666666666666,-0.0002543371171557082,14.533333333333331,14.533333333333331,-0.002563814826462325,-0.002563814826462325,1,0
South Sudan,Mauritania,1,66.0,-0.9166666666666667,-0.9166666666666667,1.1666666666666665,1.1666666666666665,-0.009976144003469963,-21.5,-21.5,-0.006244164332399627,-0.006244164332399627,1,0
Togo,Senegal,1,104.0,0.5,0.5,1.0,1.0,0.004556537031855788,3.25,3.25,0.0023973446481086493,0.0023973446481086493,1,0
Lesotho,Benin,1,58.0,-0.75,-0.75,-1.0,-1.0,-0.0012658909717733237,-56.5,-56.5,0.010737179487179487,0.010737179487179487,1,0
Rwanda,South Africa,0,76.0,-0.30000000000000004,-0.30000000000000004,0.09999999999999998,0.09999999999999998,-0.001445811572393852,-23.299999999999997,-23.299999999999997,0.009660109875874172,0.009660109875874172,1,0
Eswatini,Cape Verde,1,80.0,-0.75,-0.75,-1.75,-1.75,-0.0074305330820531364,-2.0,-2.0,0.006277367268746579,0.006277367268746579,1,0
Libya,Cameroon,1,85.0,-0.5,-0.5,0.6666666666666667,0.6666666666666667,-0.0060555728571922915,15.583333333333329,15.583333333333329,0.0022065189177774783,0.0022065189177774783,1,0
Mauritius,Angola,1,64.0,-0.2,-0.2,2.0,2.0,-0.002617801047120419,-34.400000000000006,-34.400000000000006,-0.009490107316194273,-0.009490107316194273,1,0
Niger,Zambia,0,44.0,-1.0,-1.0,0.0,0.0,-0.014678297235519017,44.25,44.25,-0.011355687984980836,-0.011355687984980836,1,0
Tanzania,Morocco,1,110.0,-1.0,-1.0,0.0,0.0,-0.012681934931506853,12.0,12.0,-0.010566116661059409,-0.010566116661059409,1,0
Somalia,Uganda,1,104.0,-0.4166666666666667,-0.4166666666666667,1.1666666666666665,1.1666666666666665,-0.005162211371348175,7.666666666666671,7.666666666666671,-0.005859375,-0.005859375,1,0
Botswana,Guinea,0,66.0,-0.16666666666666674,-0.16666666666666674,1.3333333333333335,1.3333333333333335,-0.0009576646192457575,-5.0,-5.0,-0.012972984211770386,-0.012972984211770386,1,0
Malawi,Tunisia,1,92.0,-1.0,-1.0,-0.25,-0.25,-0.012216019014979825,15.75,15.75,-0.01488514776894645,-0.01488514776894645,1,0
São Tomé and Príncipe,Namibia,1,72.0,0.0,0.0,4.5,4.5,0.0,-42.0,-42.0,-0.007936507936507936,-0.007936507936507936,1,0
Comoros,Ghana,0,70.0,1.1333333333333335,1.1333333333333335,-0.26666666666666683,-0.26666666666666683,0.010547504025764898,11.0,11.0,0.012684762684762685,0.012684762684762685,1,0
Austria,Germany,0,14.0,-0.19999999999999996,-0.19999999999999996,-1.0,-1.0,-0.15655136268343817,73.55,73.55,-0.4263445997069346,-0.4263445997069346,0,1
Poland,Latvia,0,-108.0,0.75,0.75,-1.5,-1.5,-0.004331599694240022,87.5,87.5,0.004818963887313291,0.004818963887313291,0,1
Gibraltar,Netherlands,1,191.0,-1.6,-1.6,5.0,5.0,-0.038461538461538464,20.6,20.6,-0.04664150943396227,-0.04664150943396227,1,0
Greece,France,1,48.0,-2.8499999999999996,-2.8499999999999996,0.19999999999999996,0.19999999999999996,-0.049492496419453254,5.649999999999999,5.649999999999999,-0.10212652127746466,-0.10212652127746466,1,0
Croatia,Armenia,0,-84.0,1.75,1.75,-1.25,-1.25,0.014670310683881506,37.5,37.5,0.01238450604122246,0.01238450604122246,1,0
Andorra,Israel,1,78.0,-0.8,-0.8,1.2000000000000002,1.2000000000000002,-0.012658227848101266,10.0,10.0,-0.02363291470434328,-0.02363291470434328,1,0
Kosovo,Belarus,1,11.0,0.5999999999999999,0.5999999999999999,0.19999999999999996,0.19999999999999996,0.014037551744529862,-28.200000000000003,-28.200000000000003,0.01781398426135268,0.01781398426135268,1,0
Romania,Switzerland,0,35.0,-0.19999999999999996,-0.19999999999999996,-0.9999999999999999,-0.9999999999999999,-0.0007711586658955064,-6.6000000000000085,-6.6000000000000085,0.009729599227426364,0.009729599227426364,1,0
