home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Finland,Kazakhstan,1,-49.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.009057971014492752,15.333333333333336,15.333333333333336,-0.006009615384615384,-0.006009615384615384,1,0
Northern Ireland,Slovenia,1,3.0,-1.9999999999999998,-1.9999999999999998,1.0,1.0,-0.02023431799362143,15.333333333333329,15.333333333333329,-0.033806818181818174,-0.033806818181818174,1,0
San Marino,Denmark,1,189.0,-2.6666666666666665,-2.6666666666666665,3.333333333333333,3.333333333333333,-0.021798365122615803,-74.33333333333333,-74.33333333333333,-0.03260489510489511,-0.03260489510489511,1,0
United Arab Emirates,Kuwait,0,-65.0,0.5,0.5,0.0,0.0,0.013318112633181126,-17.0,-17.0,0.014209388378546996,0.014209388378546996,0,1
Guatemala,Jamaica,1,49.0,-1.5,-1.5,0.1499999999999999,0.1499999999999999,-0.00896833669504948,-37.55,-37.55,-0.010322178573160682,-0.010322178573160682,0,1
Kosovo,Israel,0,33.0,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.8333333333333333,0.009557183816502071,-1.3333333333333286,-1.3333333333333286,0.0064117430188858765,0.0064117430188858765,1,0
Ethiopia,Sierra Leone,1,22.0,-0.33333333333333326,-0.33333333333333326,-0.5,-0.5,-7.407224512974951e-05,-32.66666666666666,-32.66666666666666,0.0002423012215638943,0.0002423012215638943,1,0
DR Congo,Mauritania,0,-32.0,-1.0,-1.0,-1.0,-1.0,-0.013628708381914757,20.33333333333333,20.33333333333333,-0.010516814136961853,-0.010516814136961853,1,0
Equatorial Guinea,Namibia,0,-23.0,0.5,0.5,0.5,0.5,0.00546448087431694,28.5,28.5,-0.003007436570428696,-0.003007436570428696,1,0
Belgium,Serbia,0,-20.0,0.5,0.5,-0.75,-0.75,0.007336703145703491,-0.75,-0.75,0.033915024432079846,0.033915024432079846,0,1
